TargetName	FLT_TX_2 | 003 | Full ROI	FLT_TX_2 | 007 | Full ROI	FLT_TX_2 | 011 | Full ROI	GC_SAL_2 | 001 | Full ROI	GC_SAL_2 | 005 | Full ROI	GC_SAL_2 | 009 | Full ROI	GC_TX_2 | 003 | Full ROI	GC_TX_2 | 007 | Full ROI	GC_TX_2 | 011 | Full ROI	FLT_SAL_2 | 003 | Full ROI	FLT_SAL_2 | 007 | Full ROI	FLT_SAL_2 | 011 | Full ROI
Vps41	32.87613395	25.79267707	18.76083731	33.70367966	26.68207973	34.13736671	35.69629585	26.68207973	27.28849063	41.1666373	43.59661242	29.23036824
Mmgt2	30.0173397	22.23506644	15.00866985	28.43747971	26.68207973	41.20027017	27.04264837	34.83493742	19.10194344	30.87497797	21.44095693	29.23036824
Sphk2	44.31131098	29.3502877	52.53034447	42.12959957	43.1621878	35.31451729	45.43164927	40.02311959	40.93273595	44.02543155	42.16721529	45.41949527
Ddr1	35.73492821	36.46550896	37.52167462	40.02311959	34.52975024	62.38898054	28.12435431	21.49389756	34.56542147	41.73839615	49.31420093	44.07040135
Ikzf4	24.29975118	27.57148239	16.25939234	26.33099973	18.83440922	17.65725864	22.71582463	22.97623532	17.28271073	17.15276554	15.72336841	20.68610676
Ep300	50.02889949	46.2489382	48.77817701	41.07635958	40.02311959	43.55457132	45.43164927	45.21130176	43.66158501	44.59719041	42.16721529	45.86919324
Mllt3	38.59372247	41.80192491	42.52456457	37.91663962	50.22509126	41.20027017	38.94141366	49.65831505	36.38465418	46.88422581	45.02600954	46.76858919
Kdm4a	35.73492821	26.68207973	32.51878467	36.86339963	42.37742075	30.60591498	46.5133552	32.61143078	41.8423523	37.16432534	40.73781816	34.62674392
St8sia3	31.44673682	33.79730099	43.77528706	27.38423972	32.17544909	44.7317219	33.53288398	32.61143078	33.65580511	36.02080763	30.0173397	35.52613986
Reg3g	27.15854544	20.45626113	27.51589472	16.85183983	22.75824448	25.89731268	15.14388309	24.45857309	27.28849063	25.72914831	22.15565549	22.48489865
